Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8421349040274871
Random Forest,0.7629524485450674,0.5366300366300366,0.7834224598930482,0.6369565217391304,0.8415613939910616
